question_by_qid,q_str,q_str_open_ended,x_name,x_value,y_name,y_value,answer,comparison,max_comparisons,prop_id,suffix,uuid,topic
510cc530b9eef8151eab089c1fc7ce67f6c7a6e7a0f99789dbffc34d2b2ad2cd,Does nitrogen have a higher boiling point than helium?,Which of these substances has a higher boiling point: nitrogen or helium?,nitrogen,-196.0,helium,-269.0,YES,gt,1,boiling-points,,a2570446,boiling points
545a5783fefc65317c74d061bd58ecf6827961bb7662296f2f885a1d38abc56d,Does ethanol have a higher boiling point than methanol?,Which of these substances has a higher boiling point: ethanol or methanol?,ethanol,78.0,methanol,65.0,YES,gt,1,boiling-points,,a2570446,boiling points
547ef552b58e3b57ca90a0285abf09d64d0062d1a53b8a475b26ac0639e19449,Does methanol have a higher boiling point than acetone?,Which of these substances has a higher boiling point: methanol or acetone?,methanol,65.0,acetone,56.0,YES,gt,1,boiling-points,,a2570446,boiling points
5b51509df56cfab74692b4cf3962888b02f581665c0f9fe9f2b135a72fe8120e,Does lead have a higher boiling point than mercury?,Which of these substances has a higher boiling point: lead or mercury?,lead,1749.0,mercury,357.0,YES,gt,1,boiling-points,,a2570446,boiling points
655bfdd85affb1698d5e27e7fd08a918b21f84cf56ec16b06e8ae09185dd6624,Does carbon dioxide have a higher boiling point than oxygen?,Which of these substances has a higher boiling point: carbon dioxide or oxygen?,carbon dioxide,-78.0,oxygen,-183.0,YES,gt,1,boiling-points,,a2570446,boiling points
6a12e0a76214b634cf7dfadcee894e58421bd9dfc5d13174e5ea81ed40cad14f,Does silver have a higher boiling point than lead?,Which of these substances has a higher boiling point: silver or lead?,silver,2162.0,lead,1749.0,YES,gt,1,boiling-points,,a2570446,boiling points
6eb1370eff1ed369de38455f61066cbc3e04c69cfa84b3cbb9bf28aa833132c4,Does iron have a higher boiling point than copper?,Which of these substances has a higher boiling point: iron or copper?,iron,2862.0,copper,2562.0,YES,gt,1,boiling-points,,a2570446,boiling points
9a0d28e275a8f1241610832c796b45faa1e30d5b32907957c44596d279816ad2,Does oxygen have a higher boiling point than nitrogen?,Which of these substances has a higher boiling point: oxygen or nitrogen?,oxygen,-183.0,nitrogen,-196.0,YES,gt,1,boiling-points,,a2570446,boiling points
9a4d2435edff5c2c931c3065963051428717ead72482140390125f4a156d4ce0,Does gold have a higher boiling point than iron?,Which of these substances has a higher boiling point: gold or iron?,gold,2970.0,iron,2862.0,YES,gt,1,boiling-points,,a2570446,boiling points
a08dbd6bf37d8640a71024ec6d603f57bd1700d71da47875e74c64c344a27aa8,Does aluminum have a higher boiling point than silver?,Which of these substances has a higher boiling point: aluminum or silver?,aluminum,2470.0,silver,2162.0,YES,gt,1,boiling-points,,a2570446,boiling points
