Causal_Scenario_ID,Code,Question Type,Question,Ground Truth,Explanation
1,"def update_scores(scores, bonus_points, student, is_top_student):
    if is_top_student:
        scores[student] += (bonus_points * 2)
    else:
        scores[student] += bonus_points

    return scores

scores_dict = {'Alice': 90, 'Bob': 85, 'Charlie': 92}
bonus = 5
is_top = 'Alice'
update_scores(scores_dict, bonus, is_top, is_top == 'Alice')"",",from cause to effect without intervention,"If the value of 'bonus_points' is increased, will the scores of all students in 'scores' increase without changing other inputs?",Yes,"Increasing 'bonus_points' directly increases the score for all students because every student, regardless of whether they are top students or not, receives some amount of bonus points added to their score. There is a direct input-output relationship where input 'bonus_points' affects the output 'scores' of students."
1,"def update_scores(scores, bonus_points, student, is_top_student):
    if is_top_student:
        scores[student] += (bonus_points * 2)
    else:
        scores[student] += bonus_points

    return scores

scores_dict = {'Alice': 90, 'Bob': 85, 'Charlie': 92}
bonus = 5
is_top = 'Alice'
update_scores(scores_dict, bonus, is_top, is_top == 'Alice')"",",from effect to cause without intervention,Can determining whether 'is_top_student' is true or false lead you to know the specific amount of 'bonus_points' being assigned?,No,Knowing whether 'is_top_student' is true or false does not specify the number of 'bonus_points'. The 'bonus_points' is a separate input that affects the score calculation but can't be deduced solely from knowing the status of 'is_top_student'.
1,"def update_scores(scores, bonus_points, student, is_top_student):
    if is_top_student:
        scores[student] += (bonus_points * 2)
    else:
        scores[student] += bonus_points

    return scores

scores_dict = {'Alice': 90, 'Bob': 85, 'Charlie': 92}
bonus = 5
is_top = 'Alice'
update_scores(scores_dict, bonus, is_top, is_top == 'Alice')"",",from cause to effect with intervention,"If we manually set 'is_top_student' to True for all students and reevaluate 'update_scores', will this raise scores?",Yes,Manually setting 'is_top_student' to True for all students results in all students receiving double the 'bonus_points' (due to the multiplicative factor of 2 in the score update operation specifically for top students). This intervention directly causes an increase in the scores of all students.
1,"def update_scores(scores, bonus_points, student, is_top_student):
    if is_top_student:
        scores[student] += (bonus_points * 2)
    else:
        scores[student] += bonus_points

    return scores

scores_dict = {'Alice': 90, 'Bob': 85, 'Charlie': 92}
bonus = 5
is_top = 'Alice'
update_scores(scores_dict, bonus, is_top, is_top == 'Alice')"",",from effect to cause with intervention,"If we observe that a student's score increased significantly, can we conclude that this student was definitely designated as a top student?",No,"A significant increase in a student's score could be due to them being a top student and thus receiving twice the bonus points, or it could simply be due to a high value of 'bonus_points'. Without knowing the exact 'bonus_points' or comparing it to changes in the scores of other students, we cannot definitively conclude their top student status."
2,"def analyze_data(data):
    if 'revenue' in data:
        revenue = sum(data['revenue'])
        if revenue > 10000:
            bonus = 500
        else:
            bonus = 100
    else:
        bonus = 0
    if 'expenses' in data and 'revenue' in data:
        net_profit = revenue - sum(data['expenses'])
        if net_profit > 5000:
            reinvestment = net_profit * 0.1
        else:
            reinvestment = 0
    return bonus, reinvestment"",",from cause to effect without intervention,"If the 'revenue' field is removed from the data, will the value of 'bonus' change?",Yes,"The 'bonus' is directly calculated based on the 'revenue' values. Removing the 'revenue' field will cause 'bonus' to be set to 0, as the condition checking for 'revenue' in data will fail."
2,"def analyze_data(data):
    if 'revenue' in data:
        revenue = sum(data['revenue'])
        if revenue > 10000:
            bonus = 500
        else:
            bonus = 100
    else:
        bonus = 0
    if 'expenses' in data and 'revenue' in data:
        net_profit = revenue - sum(data['expenses'])
        if net_profit > 5000:
            reinvestment = net_profit * 0.1
        else:
            reinvestment = 0
    return bonus, reinvestment"",",from effect to cause without intervention,"If 'reinvestment' is higher than usual, can this imply 'expenses' were low?",No,"Higher 'reinvestment' is computed purely based on the 'net_profit' exceeding 5000, which is determined primarily by the difference between 'revenue' and 'expenses'. However, 'reinvestment' being high does not necessarily imply that 'expenses' were low; it could also be due to high 'revenue'."
2,"def analyze_data(data):
    if 'revenue' in data:
        revenue = sum(data['revenue'])
        if revenue > 10000:
            bonus = 500
        else:
            bonus = 100
    else:
        bonus = 0
    if 'expenses' in data and 'revenue' in data:
        net_profit = revenue - sum(data['expenses'])
        if net_profit > 5000:
            reinvestment = net_profit * 0.1
        else:
            reinvestment = 0
    return bonus, reinvestment"",",from cause to effect with intervention,"If an intervention sets 'revenue' to a total of 15000, does this ensure the 'bonus' is 500?",Yes,"With the 'revenue' explicitly set to 15000, the condition 'revenue > 10000' will be satisfied, guaranteeing a 'bonus' of 500."
2,"def analyze_data(data):
    if 'revenue' in data:
        revenue = sum(data['revenue'])
        if revenue > 10000:
            bonus = 500
        else:
            bonus = 100
    else:
        bonus = 0
    if 'expenses' in data and 'revenue' in data:
        net_profit = revenue - sum(data['expenses'])
        if net_profit > 5000:
            reinvestment = net_profit * 0.1
        else:
            reinvestment = 0
    return bonus, reinvestment"",",from effect to cause with intervention,"If an intervention manually sets 'reinvestment' to 0, can this directly confirm that 'net_profit' was below 5000?",No,"Setting 'reinvestment' to 0 manually does not provide information about the actual 'net_profit', as the intervention disrupts the natural causation from 'net_profit' to 'reinvestment'. The 'net_profit' could technically be anything, but the manual intervention overrides this."
3,"
class OnlineStore:
    def __init__(self, inventory_amount):
        self.inventory_amount = inventory_amount

    def purchase(self, order_quantity):
        if order_quantity > self.inventory_amount:
            return ""Order too large, cannot fulfill.""
        else:
            self.inventory_amount -= order_quantity
            return ""Order fulfilled.""

store = OnlineStore(100)
response1 = store.purchase(70)
response2 = store.purchase(40)
"""""",",from cause to effect without intervention,"If we initially increase inventory, will the first purchase order always be fulfilled?",Yes,"Increasing the initial inventory in the constructor of the OnlineStore class would allow larger orders to be fulfilled. Having a higher starting inventory means that unless the order quantity exceeds this new higher inventory, the purchase will be fulfilled."
3,"
class OnlineStore:
    def __init__(self, inventory_amount):
        self.inventory_amount = inventory_amount

    def purchase(self, order_quantity):
        if order_quantity > self.inventory_amount:
            return ""Order too large, cannot fulfill.""
        else:
            self.inventory_amount -= order_quantity
            return ""Order fulfilled.""

store = OnlineStore(100)
response1 = store.purchase(70)
response2 = store.purchase(40)
"""""",",from effect to cause without intervention,Can a consecutive larger order infer whether the initial inventory was low?,No,"A larger consecutive order might not be fulfilled, but this does not necessarily imply the initial inventory was low, but rather that the enough inventory was depleted by previous orders. The inventory state at the time of each purchase order depends on all previous transactions and the initial amount."
